# Age, Temperature
399946.0,0.51
409980.0,1.57
414882.0,0.17
419929.0,-0.62
430187.0,-7.58
440206.0,-9.04
449719.0,-7.26
460344.0,-8.34
464951.0,-8.44
469706.0,-7.26
480119.0,-4.95
505080.0,-5.04
510100.0,-5.55
514989.0,-4.98
520111.0,-3.75
525099.0,-4.35
529939.0,-5.43
534994.0,-6.64
539991.0,-7.46
544758.0,-8.13
549855.0,-6.14
554948.0,-4.04
560077.0,-5.48
564994.0,-2.07
575040.0,-1.37
580084.0,-1.46
584984.0,-5.75
589830.0,-3.48
594821.0,-3.89
600096.0,-4.99
604834.0,-3.51
625316.0,-2.2
629486.0,-8.37
639948.0,-8.84
645119.0,-7.68
649522.0,-7.07
654607.0,-7.58
659970.0,-8.02
665075.0,-8.94
669852.0,-7.24
680122.0,-6.46
695072.0,-1.94
700027.0,-2.75
704825.0,-3.21
710178.0,-4.06
720001.0,-7.13
724982.0,-5.18
730050.0,-5.31
734843.0,-4.15
739778.0,-7.16
745171.0,-8.41
759838.0,-7.12
765016.0,-5.1
769831.0,-3.84
774703.0,-3.47
784830.0,-1.15
799501.0,-8.88
